conversation_id,root_tweet_id,customer_id,preliminary_intent,customer_initial_query,clean_customer_query,agent_first_reply,clean_agent_reply,num_turns,has_link_or_dm
conv_700,700,115854,general_inquiry_other,@AppleSupport why are my I️’s changing not showing up correctly on any of my social media platforms? https://t.co/GyRvpyVnkE,why are my I️’s changing not showing up correctly on any of my social media platforms?,@115854 We're here for you. Which version of the iOS are you running? Check from Settings > General > About.,We're here for you. Which version of the iOS are you running? Check from Settings > General > About.,5,False
conv_709,709,115855,general_inquiry_other,@AppleSupport I️ need answers because it’s annoying 🙃,I️ need answers because it’s annoying 🙃,@115855 We'd like to look into this with you. Which model do you have and is iOS 11.1 installed? Any steps tried so far?,We'd like to look into this with you. Which model do you have and is iOS 11.1 installed? Any steps tried so far?,8,False
conv_714,714,115856,general_inquiry_other,"Hey @AppleSupport and anyone else who upgraded to ios11.1, are y’all having issues with capital “I️” in the Mail app? As it puts in “A”?","Hey @AppleSupport and anyone else who upgraded to ios11.1, are y’all having issues with capital “I️” in the Mail app? As it puts in “A”?","@115856 Hey, let's work together to figure out what's going on. Meet us in DM and we'll continue from there. https://t.co/GDrqU22YpT","Hey, let's work together to figure out what's going on. Meet us in DM and we'll continue from there.",3,True
conv_723,723,115859,general_inquiry_other,@115858 @AppleSupport hello are all the lines closed for tonight #help,hello are all the lines closed for tonight #help,@115859 What's going on? We're hapy to help if we can. https://t.co/GDrqU22YpT,What's going on? We're hapy to help if we can.,4,True
conv_736,736,115864,general_inquiry_other,Thank you @AppleSupport I updated my phone and now it is even slower and barely works. Thank you for ruining my phone.😤,Thank you @AppleSupport I updated my phone and now it is even slower and barely works. Thank you for ruining my phone.😤,"@115864 We'd like to help, but we'll need more details. What's happening on your device and which model is it? Do you have iOS 11.1?","We'd like to help, but we'll need more details. What's happening on your device and which model is it? Do you have iOS 11.1?",4,False
conv_747,747,115865,general_inquiry_other,Hola @AppleSupport necesito urgente la actualización de software. La batería me dura literal medio día 🙍🏼🙇🏼‍♀️,Hola @AppleSupport necesito urgente la actualización de software. La batería me dura literal medio día 🙍🏼🙇🏼‍♀️,@115865 We offer support via Twitter in English. Get help in Spanish here: https://t.co/IBIY3vMgPj or join https://t.co/OczyRx7IOs,We offer support via Twitter in English. Get help in Spanish here: or join,10,True
conv_749,749,115866,general_inquiry_other,@AppleSupport Hi! What is going on? Has Youtube lost it? What can be done about it? Thanks for the support! https://t.co/T8ZZp4IH6t,Hi! What is going on? Has Youtube lost it? What can be done about it? Thanks for the support!,@115866 We want to help! DM us and let us know more about the issues you are having. https://t.co/GDrqU22YpT,We want to help! DM us and let us know more about the issues you are having.,2,True
conv_1759,1759,116098,general_inquiry_other,Why is “I️” keep changing to this and how do I️ stop it🤦🏽‍♀️ @115858 @AppleSupport #anybody https://t.co/urzAfSZL5z,Why is “I️” keep changing to this and how do I️ stop it🤦🏽‍♀️ @115858 @AppleSupport #anybody,"@116098 We definitely understand your concern. Please backup your iPhone, update and let us know the result: https://t.co/ahjigcvFRG","We definitely understand your concern. Please backup your iPhone, update and let us know the result:",4,True
conv_1770,1770,116101,general_inquiry_other,@AppleSupport why is my home sharing not working and how do i fix it,why is my home sharing not working and how do i fix it,@116101 We're happy to help. Has Home Sharing worked with these devices before?,We're happy to help. Has Home Sharing worked with these devices before?,4,False
conv_1785,1785,116106,general_inquiry_other,@AppleSupport epıl bana yardımcı olur musun telefon internet konusunda çok yakıyo napcaz ?,epıl bana yardımcı olur musun telefon internet konusunda çok yakıyo napcaz ?,@116106 We offer support via Twitter in English. Contact us for help in your preferred language here: https://t.co/IBIY3vMgPj,We offer support via Twitter in English. Contact us for help in your preferred language here:,2,True
